Stock,1,2,3,4,5,6,7,8,9
LDOS,476,1856,254,136,236,258,66,115,97
LEN,1666,1650,2201,1686,1149,704,529,425,195
LLY,1884,2900,3754,1825,491,417,599,199,102
LNC,2259,2285,1439,1112,690,687,547,814,372
LIN,3275,601,405,590,463,599,385,379,410
LYV,946,1170,201,341,228,196,133,255,230
LKQ,738,1423,1004,132,352,92,98,162,257
LMT,2048,1952,1711,1246,1926,943,558,217,413
L,2199,1229,1996,2280,750,951,497,157,146
LOW,2332,1926,1266,1273,869,935,739,402,463
LYB,326,223,136,215,548,486,354,281,38
MTB,2961,1554,1000,865,889,1046,897,553,440
MRO,3071,2939,2235,1028,1046,606,488,935,435
MPC,326,265,692,481,295,160,92,0,3
MKTX,1576,590,393,177,282,202,131,267,366
MAR,2703,1160,898,409,232,513,285,277,295
MMC,4867,2278,1311,775,610,468,527,698,457
MLM,2054,1335,1099,267,133,449,662,340,344
MAS,4351,1023,1649,987,611,548,251,298,487
MA,1223,782,366,191,113,80,277,305,257
MXIM,2102,2711,1025,613,719,279,198,233,315
MKC,2977,3578,1080,575,713,1355,713,343,657
MCD,4927,3395,1319,1018,496,545,818,760,190
MCK,2324,1306,723,665,658,285,285,191,62
MDT,2297,2119,3593,933,310,559,743,744,644
MRK,1285,3449,3109,1625,1510,642,570,492,101
MET,1085,1438,1606,961,21,0,3,6,16
MTD,1058,998,814,980,568,488,328,193,310
MGM,2502,1934,1152,324,348,491,410,502,488
MCHP,2074,1648,741,843,307,349,287,392,275
MU,3911,1222,949,777,504,363,466,581,367
MSFT,3355,2824,739,522,333,332,205,155,226
MAA,1279,720,592,751,876,593,837,543,506
MHK,2297,1135,480,465,610,516,726,649,282
TAP,2018,2462,3138,1895,595,476,263,351,210
MDLZ,2633,535,753,609,307,0,0,0,0
MNST,1544,795,726,1289,1381,1033,615,644,729
MCO,1599,1390,845,534,541,318,274,507,499
MS,945,1923,1857,1297,521,221,81,38,51
MSI,2217,1505,1087,1210,2078,1180,931,560,246
MSCI,600,764,1017,231,174,134,161,56,85
MYL,3886,2394,1043,717,416,471,543,355,380
NDAQ,905,1105,616,265,298,469,362,339,218
NOV,1147,1003,1027,556,812,747,337,221,152
NTAP,1534,1695,1437,502,360,232,209,118,152
NFLX,1116,615,1182,580,274,288,99,160,289
NWL,4991,1790,833,503,356,504,358,438,432
NEM,1868,2606,2896,979,508,295,532,314,207
NWSA,1775,0,0,0,0,0,0,20,21
NWS,1781,0,0,0,0,0,0,16,19
NEE,3259,1576,1909,2319,850,698,514,504,362
NLSN,184,1135,911,187,0,0,0,0,0
NKE,2689,1381,594,620,985,276,342,487,496
NI,1657,2016,1022,3150,1856,979,608,315,388
NBL,2971,2267,1470,1117,598,964,537,169,112
NSC,3975,1154,1017,630,601,379,500,567,824
NTRS,1345,1295,1647,2057,1619,588,525,788,341
NOC,2279,2653,2452,955,725,288,165,127,108
NLOK,294,83,0,0,0,0,0,0,0
NCLH,110,56,506,396,806,38,1,4,3
NRG,1611,1452,930,61,0,0,0,56,108
NUE,1523,1593,1817,1923,2007,776,260,173,133
NVDA,2784,939,356,219,158,327,248,192,217
NVR,1789,900,1278,1054,1094,1114,851,344,429
ORLY,1619,1640,1734,667,267,287,209,255,214
OXY,930,1274,2301,1200,2038,1286,458,193,72
ODFL,2979,423,272,694,406,361,450,840,845
OMC,2061,2276,1880,408,724,1260,1124,251,221
