Symbol,Name,Sector,Score
ORLY,O'Reilly Automotive,Consumer Discretionary,0.1539183595028597
ALL,Allstate Corp,Financials,0.19493528663189771
FLIR,FLIR Systems,Information Technology,0.17947446420507265
EQR,Equity Residential,Real Estate,0.23657173499214967
BWA,BorgWarner,Consumer Discretionary,0.21130802355305728
INCY,Incyte,Health Care,0.1100861570054829
SPG,Simon Property Group Inc,Real Estate,0.16346558421879573
EMN,Eastman Chemical,Materials,0.2523346971863241
TWTR,Twitter Inc.,Communication Services,0.3075927269043318
AVB,AvalonBay Communities,Real Estate,0.17183809811846468
PRU,Prudential Financial,Financials,0.29547774378603203
UPS,United Parcel Service,Industrials,0.41889757103832115
AIV,Apartment Investment & Management,Real Estate,0.33245996252842935
WBA,Walgreens Boots Alliance,Consumer Staples,0.5354562222028573
STE,STERIS plc,Health Care,0.1954753182136489
MCK,McKesson Corp.,Health Care,0.096624068680067
LMT,Lockheed Martin Corp.,Industrials,0.16612894355399532
ABC,AmerisourceBergen Corp,Health Care,0.13245780296064208
COF,Capital One Financial,Financials,0.3174655519709127
WAT,Waters Corporation,Health Care,0.07986151085730366
DLTR,Dollar Tree,Consumer Discretionary,0.23979316498655964
DRI,Darden Restaurants,Consumer Discretionary,0.11244812716395207
DPZ,Domino's Pizza,Consumer Discretionary,0.17271427155143868
NVR,NVR Inc.,Consumer Discretionary,0.1309977659396614
NTAP,NetApp,Information Technology,0.19011221418971702
CTXS,Citrix Systems,Information Technology,0.12483554466293872
DXC,DXC Technology,Information Technology,0.3126978609745496
ODFL,Old Dominion Freight Line,Industrials,0.2198012476011343
DVA,DaVita Inc.,Health Care,0.25094269426022286
HIG,Hartford Financial Svc.Gp.,Financials,0.25959719473611237
IRM,Iron Mountain Incorporated,Real Estate,0.3230675706669605
EL,Estée Lauder Companies,Consumer Staples,0.20788944058631242
CDNS,Cadence Design Systems,Information Technology,0.12067713159995051
TYL,Tyler Technologies,Information Technology,0.12754073732587695
UHS,Universal Health Services,Health Care,0.16899544223817203
ETFC,E*Trade,Financials,0.1507150446916195
SWKS,Skyworks Solutions,Information Technology,0.14223499751348914
NOV,National Oilwell Varco Inc.,Energy,0.12724806715109144
DGX,Quest Diagnostics,Health Care,0.2932435248582385
ATVI,Activision Blizzard,Communication Services,0.10648236069138114
ROK,Rockwell Automation Inc.,Industrials,0.1692438573725015
KHC,Kraft Heinz Co,Consumer Staples,0.41421765349994394
AMT,American Tower Corp.,Real Estate,0.08231253191665695
HFC,HollyFrontier Corp,Energy,0.4074775590600154
REGN,Regeneron Pharmaceuticals,Health Care,0.06972566990280794
AMZN,Amazon.com Inc.,Consumer Discretionary,0.07418860874955949
JKHY,Jack Henry & Associates,Information Technology,0.15332168380101738
RL,Ralph Lauren Corporation,Consumer Discretionary,0.13269163877155796
BXP,Boston Properties,Real Estate,0.2142442866222908
APH,Amphenol Corp,Information Technology,0.12249537208828751
HWM,Howmet Aerospace,Industrials,0.4757516835980235
PXD,Pioneer Natural Resources,Energy,0.14376505433212025
VLO,Valero Energy,Energy,0.19679221540047948
SNPS,Synopsys Inc.,Information Technology,0.19242965883223295
WU,Western Union Co,Information Technology,0.47861573052696565
CHRW,C. H. Robinson Worldwide,Industrials,0.28574237890590876
ACN,Accenture plc,Information Technology,0.08490709052737694
