Symbol,Name,Sector,Score
TDG,TransDigm Group,Industrials,0.0023493777019013688
TFC,Truist Financial,Financials,0.002158487071427682
TWTR,Twitter Inc.,Communication Services,0.007430977133952444
TYL,Tyler Technologies,Information Technology,0.001661983593821087
TSN,Tyson Foods,Consumer Staples,0.0030282502680888798
USB,U.S. Bancorp,Financials,0.0010821881936883407
UDR,UDR Inc.,Real Estate,0.0035164540482856346
ULTA,Ulta Beauty,Consumer Discretionary,0.004858816062984234
UAA,Under Armour (Class A),Consumer Discretionary,0.001496050398712874
UA,Under Armour (Class C),Consumer Discretionary,0.007729265446008158
UNP,Union Pacific Corp,Industrials,0.00013896294501415817
UAL,United Airlines Holdings,Industrials,0.005180997623739686
UNH,United Health Group Inc.,Health Care,0.002572583449333061
UPS,United Parcel Service,Industrials,0.011877185219351775
URI,United Rentals Inc.,Industrials,0.0031350830553738625
UHS,Universal Health Services,Health Care,0.004735691569832126
UNM,Unum Group,Financials,0.007192450494318167
VLO,Valero Energy,Energy,0.0002561751011621283
VAR,Varian Medical Systems,Health Care,0.0016959142650457774
VTR,Ventas Inc,Real Estate,0.005621166364617184
VRSN,Verisign Inc.,Information Technology,0.0004199264520855508
VRSK,Verisk Analytics,Industrials,0.003015578397993127
VZ,Verizon Communications,Communication Services,0.0018252118295590198
VRTX,Vertex Pharmaceuticals Inc,Health Care,0.0008592411945204547
VFC,VF Corporation,Consumer Discretionary,0.0010108786250289758
VIAC,ViacomCBS,Communication Services,0.00864122277972745
V,Visa Inc.,Information Technology,0.007132645485622529
VNO,Vornado Realty Trust,Real Estate,0.0023229848231455675
VMC,Vulcan Materials,Materials,0.0013599952826659541
WRB,W. R. Berkley Corporation,Financials,0.002497830988110331
WAB,Wabtec Corporation,Industrials,0.0045460930234709545
WBA,Walgreens Boots Alliance,Consumer Staples,0.0024452143794473336
WMT,Walmart,Consumer Staples,0.006604541716003229
WM,Waste Management Inc.,Industrials,0.002481431144242255
WAT,Waters Corporation,Health Care,0.0005910834623516824
WEC,WEC Energy Group,Utilities,0.0020251765835998074
WFC,Wells Fargo,Financials,0.0037159484939378717
WELL,Welltower Inc.,Real Estate,0.001974430038231308
WST,West Pharmaceutical Services,Health Care,0.0004926124071590061
