Stock,1,2,3,4,5,6,7,8,9
FLIR,2192,1895,1436,455,619,227,118,68,106
EQR,939,2115,669,662,986,1012,526,170,0
BWA,1312,637,1619,1285,978,748,280,140,79
INCY,2371,809,640,465,474,548,676,594,442
SPG,2299,2307,427,350,267,325,407,379,230
EMN,844,2608,1156,221,254,357,954,440,143
TWTR,460,317,639,259,98,26,1,0,0
AVB,3211,629,1099,876,257,206,194,210,246
PRU,524,159,511,503,728,524,717,690,548
UPS,1385,0,5,88,812,1012,1404,304,440
AIV,934,2747,1704,1081,258,19,20,26,44
WBA,0,0,39,122,219,214,319,547,40
STE,1208,2094,943,282,127,468,217,200,157
MCK,1942,1268,1147,403,756,469,304,308,118
LMT,921,886,1327,887,720,418,660,472,373
ABC,1883,883,651,329,354,414,607,788,442
COF,546,207,685,921,918,844,1117,1037,475
WAT,1720,1096,619,806,401,536,654,365,291
DLTR,1886,378,390,388,517,337,783,1055,937
DRI,1681,863,927,1239,354,604,346,290,322
DPZ,1625,1207,451,162,90,202,286,108,100
NVR,912,427,512,168,189,459,336,143,179
NTAP,1220,1502,1761,860,418,353,145,130,97
CTXS,2028,1170,396,546,1009,576,210,229,309
DXC,136,55,106,10,97,195,79,200,46
ODFL,3187,449,279,727,402,375,412,876,842
DVA,592,1461,558,373,744,959,1109,545,160
HIG,438,967,789,1349,1197,838,318,344,228
IRM,1341,2108,1508,74,0,18,101,306,136
EL,2703,1724,160,167,259,318,411,435,311
CDNS,1636,576,296,358,159,372,229,116,150
TYL,3525,2944,1289,893,719,227,332,341,360
UHS,3000,2220,872,446,184,340,178,222,186
ETFC,2836,1193,544,677,400,213,94,184,152
SWKS,2661,2290,770,552,551,671,975,1076,936
NOV,1334,911,1129,462,463,801,607,351,183
DGX,667,384,538,1250,1856,654,305,250,302
ATVI,2830,685,691,607,517,512,367,366,452
ROK,3020,724,359,291,548,546,339,272,118
KHC,0,153,265,58,121,89,309,296,76
AMT,1554,1102,837,722,380,196,371,240,421
HFC,823,984,736,957,4898,166,85,79,93
REGN,2768,1358,1168,604,439,372,331,360,296
AMZN,1728,843,1077,655,387,359,500,327,223
JKHY,3631,2267,721,291,579,443,193,522,394
RL,2424,1204,403,224,342,326,405,390,361
BXP,2552,155,1166,597,260,306,242,360,437
APH,1211,1271,539,555,867,352,413,494,394
HWM,636,384,0,0,0,0,0,0,1
PXD,2759,917,516,697,275,156,173,246,299
VLO,1132,557,355,802,904,795,583,628,287
SNPS,2270,2770,839,413,220,131,258,349,210
WU,2455,1205,0,0,0,0,0,0,0
ETSY,566,107,42,186,163,130,55,97,78
CHRW,1083,380,124,486,1292,991,877,508,249
ACN,1541,1134,772,342,326,178,322,238,156
TDG,775,1082,751,513,281,99,64,138,92
YUM,1367,917,354,451,1090,537,413,552,329
PLD,238,1994,1197,909,740,503,108,164,110
FE,22,841,2917,1380,352,282,159,19,0
VRSN,1470,1430,949,496,437,257,296,399,179
PWR,1328,2080,1492,213,129,105,250,182,125
HSIC,1209,1356,425,465,831,1247,571,256,138
AEE,2,722,1538,1932,1094,234,352,59,0
ANSS,1248,1772,585,597,439,376,376,512,429
NVDA,2848,1080,412,235,163,210,309,201,200
SEE,1047,2697,870,1099,82,4,45,26,6
CTSH,1542,804,860,414,741,792,376,143,141
SIVB,2058,2208,1094,1264,850,393,151,215,341
ISRG,1829,400,619,629,874,327,150,215,253
TTWO,2982,1081,276,426,300,167,268,267,354
RSG,1423,1560,1078,381,153,406,308,329,167
EBAY,1976,1198,850,255,403,350,321,136,255
GS,3007,1101,0,0,21,197,317,444,500
SBAC,1856,1008,1231,430,208,151,221,175,275
SRE,1795,1130,381,686,956,309,102,178,270
MCO,1855,1347,807,439,243,373,212,121,413
BKNG,2407,1216,441,371,335,339,190,161,151
FFIV,2616,860,536,202,217,279,225,293,336
AKAM,1132,646,922,704,752,476,456,207,164
MKTX,1834,633,515,162,260,210,119,179,236
DVN,227,349,522,545,625,1113,456,215,114
GOOGL,1213,1163,462,158,451,115,251,182,209
TFX,1109,1100,1094,1298,1027,782,294,108,82
NFLX,1156,637,1226,614,291,295,104,166,300
ALLE,253,0,0,105,306,390,227,350,161
A,1150,1702,816,630,146,418,280,179,123
ANTM,915,855,581,447,485,601,664,314,75
CME,926,172,65,134,664,403,332,150,341
JNPR,338,2225,244,42,0,0,0,0,0
BLK,1566,749,1207,1079,431,123,192,106,25
DTE,3346,1314,2112,2308,351,319,362,263,255
NDAQ,589,1140,792,377,209,288,242,212,230
CE,1076,443,578,652,397,394,159,181,213
PM,362,0,83,348,329,200,398,1190,362
CRM,1427,268,624,296,420,262,415,304,229
IR,8,479,396,0,0,0,0,0,0
HII,918,783,271,174,89,65,31,33,122
MET,120,1248,1468,1827,628,54,0,0,0
UA,683,209,126,28,0,4,14,64,52
TPR,504,868,1587,995,757,270,147,55,31
CSX,0,202,80,95,258,243,363,5,0
EW,1445,1229,1126,611,340,141,281,116,63
AMP,1661,179,228,613,568,307,56,121,191
ZBRA,2079,1518,1459,922,424,256,328,414,199
FTI,685,1172,879,982,661,200,288,103,64
ZBH,1552,85,355,380,504,808,665,413,243
CBRE,1110,1188,959,525,203,131,40,66,32
MA,1047,1072,293,272,173,81,259,205,342
KMX,1230,840,403,412,449,565,349,250,211
ICE,560,1144,479,461,304,182,383,107,260
FIS,1714,1540,464,158,306,312,220,128,188
CMG,454,339,595,728,516,467,281,316,133
WYNN,2427,256,232,174,245,334,329,256,425
LYV,987,1211,206,358,254,200,140,263,241
AIZ,544,444,1003,418,459,642,140,266,428
NRG,1180,1896,876,333,0,0,0,1,23
RF,1425,680,991,156,154,339,360,199,499
MNST,1512,772,576,1587,1234,996,486,769,393
MOS,899,970,424,761,611,260,117,65,50
EXPE,1754,1000,123,106,187,241,181,242,131
EVRG,1115,2956,1850,331,878,229,26,1,21
DISCA,718,1640,617,284,6,322,223,48,106
CF,599,859,1019,899,337,110,22,58,46
LDOS,68,20,636,1291,974,323,84,132,115
GOOG,759,0,0,6,340,102,278,82,132
COO,2533,2439,1226,801,946,722,595,267,218
TEL,230,376,912,128,348,511,328,236,400
DFS,685,385,256,254,754,447,461,173,54
V,1452,466,203,181,252,195,283,163,75
MAA,777,2548,560,525,690,947,345,171,395
XYL,0,533,630,195,177,265,385,154,0
MPC,179,243,443,642,484,261,112,55,0
TSCO,3171,211,274,417,372,483,423,762,830
AMD,544,417,169,89,116,61,43,35,24
RMD,1770,999,538,418,553,337,371,216,277
MTD,1099,1031,845,1017,590,506,345,198,337
CPRT,1922,723,478,434,612,844,812,626,473
ALB,2341,372,443,516,591,973,443,543,706
FTNT,577,848,546,202,60,67,165,299,71
APA,80,0,0,0,0,0,0,0,1
ESS,2287,1801,836,338,535,391,260,253,165
O,2254,1571,689,756,696,365,247,74,119
STX,682,258,580,767,628,158,20,24,24
WRK,0,110,408,298,418,140,1,0,0
INFO,0,0,0,43,275,147,124,46,0
WAB,1715,519,326,309,570,898,1024,792,445
WDC,123,10,216,454,272,283,189,399,227
PEP,709,0,0,0,0,0,0,0,16
FANG,626,115,114,147,91,198,303,229,255
MXIM,1628,1531,1964,1270,1103,501,195,169,141
NOW,439,360,252,173,200,218,319,156,36
CHD,2118,1852,873,1143,596,289,440,266,283
DRE,3787,2865,1265,148,57,190,209,269,222
FRT,3201,3572,270,281,289,389,545,570,220
MGM,2698,1701,1214,357,141,550,431,452,491
JBHT,1336,1488,2173,1527,942,440,751,481,312
LRCX,3183,2098,1187,960,545,211,399,373,325
MHK,1428,1065,498,485,551,474,695,578,172
PNR,2049,1907,742,1194,116,0,23,104,277
VRTX,2746,976,1115,599,492,365,463,457,402
AMCR,205,0,0,0,1,5,8,27,95
FB,1108,429,66,59,80,92,174,102,74
TMUS,87,0,130,138,148,448,225,73,37
URI,2648,1226,614,208,267,249,221,212,299
ABMD,2605,1181,883,937,818,686,562,529,454
ARE,1411,418,846,545,292,746,872,387,573
DAL,895,252,312,656,730,125,157,169,208
UAL,230,2328,393,251,63,59,87,309,104
NWS,1864,0,0,0,0,0,0,16,20
CNC,599,249,633,790,864,650,340,182,117
MLM,1804,1527,638,996,303,177,432,639,428
TER,0,4,70,103,84,116,49,47,8
PYPL,373,10,345,145,65,45,136,170,78
DISH,998,2242,1758,537,481,437,121,4,17
DOW,0,17,51,202,130,0,0,0,0
ALXN,2754,1135,596,500,478,249,100,238,365
RE,1479,1524,619,157,228,398,582,963,571
TDY,1694,672,1099,549,383,265,149,217,413
NWSA,1863,0,0,0,0,0,0,20,17
EXC,0,1,140,123,1,0,0,0,0
GPN,1739,1620,266,169,202,208,503,214,220
CCI,1570,399,943,515,143,219,520,490,271
APTV,50,246,107,176,508,341,341,351,194
AAP,2075,517,769,548,177,292,211,223,102
ALGN,1585,1110,544,229,488,426,324,220,207
ILMN,1511,965,1233,621,360,220,220,66,67
LKQ,763,1488,1046,142,364,97,101,164,268
NLSN,174,805,594,781,171,0,0,0,0
GRMN,716,722,1109,874,713,327,146,217,344
ZTS,388,55,412,451,202,129,70,194,97
EQIX,762,653,795,732,378,245,264,417,385
DLR,1297,261,545,361,520,707,286,69,107
LVS,321,140,301,958,1014,635,471,185,95
DISCK,847,1435,610,63,15,68,55,22,24
